WKT,fid,DN
"POLYGON ((3278638.6809405 -202153.171837148,3278638.6809405 -202417.770229605,3278903.27933295 -202417.770229605,3278903.27933295 -202153.171837148,3278638.6809405 -202153.171837148))","892","1"
"POLYGON ((3367543.74080605 -202153.171837148,3367543.74080605 -202417.770229605,3367808.33919851 -202417.770229605,3367808.33919851 -202153.171837148,3367543.74080605 -202153.171837148))","893","1"
"POLYGON ((3260645.99025342 -202153.171837148,3260645.99025342 -202682.368622062,3260910.58864588 -202682.368622062,3260910.58864588 -202153.171837148,3260645.99025342 -202153.171837148))","894","1"
"POLYGON ((3309332.09446551 -201888.573444691,3309596.69285797 -201888.573444691,3309596.69285797 -202946.967014519,3309332.09446551 -202946.967014519,3309332.09446551 -202682.368622062,3309067.49607305 -202682.368622062,3309067.49607305 -202153.171837148,3309332.09446551 -202153.171837148,3309332.09446551 -201888.573444691))","895","1"
"POLYGON ((3318328.43980905 -202153.171837148,3318328.43980905 -202682.368622062,3318593.0382015 -202682.368622062,3318593.0382015 -202153.171837148,3318328.43980905 -202153.171837148))","896","1"
"POLYGON ((3258264.60472131 -202417.770229605,3258264.60472131 -202682.368622062,3258529.20311376 -202682.368622062,3258529.20311376 -202946.967014519,3258793.80150622 -202946.967014519,3258793.80150622 -202417.770229605,3258264.60472131 -202417.770229605))","897","1"
"POLYGON ((3265937.95810256 -202417.770229605,3265937.95810256 -202682.368622062,3266202.55649502 -202682.368622062,3266202.55649502 -202946.967014519,3266467.15488748 -202946.967014519,3266467.15488748 -202417.770229605,3265937.95810256 -202417.770229605))","898","1"
"POLYGON ((3267525.5484573 -202417.770229605,3267525.5484573 -202682.368622062,3267790.14684976 -202682.368622062,3267790.14684976 -202417.770229605,3267525.5484573 -202417.770229605))","899","1"
"POLYGON ((3273346.71309136 -202417.770229605,3273346.71309136 -202682.368622062,3273611.31148381 -202682.368622062,3273611.31148381 -202417.770229605,3273346.71309136 -202417.770229605))","900","1"
"POLYGON ((3343729.88548492 -202417.770229605,3343729.88548492 -202682.368622062,3343994.48387738 -202682.368622062,3343994.48387738 -202417.770229605,3343729.88548492 -202417.770229605))","901","1"
"POLYGON ((3359341.19063988 -202417.770229605,3359341.19063988 -202682.368622062,3359605.78903234 -202682.368622062,3359605.78903234 -202417.770229605,3359341.19063988 -202417.770229605))","902","1"
"POLYGON ((3259322.99829114 -202682.368622062,3259322.99829114 -202946.967014519,3259587.59668359 -202946.967014519,3259587.59668359 -202682.368622062,3259322.99829114 -202682.368622062))","903","1"
"POLYGON ((3260381.39186096 -202682.368622062,3260381.39186096 -202946.967014519,3260645.99025342 -202946.967014519,3260645.99025342 -202682.368622062,3260381.39186096 -202682.368622062))","904","1"
"POLYGON ((3320709.82534116 -201888.573444691,3320974.42373362 -201888.573444691,3320974.42373362 -202682.368622062,3320709.82534116 -202682.368622062,3320709.82534116 -202946.967014519,3319916.03016379 -202946.967014519,3319916.03016379 -202682.368622062,3320445.2269487 -202682.368622062,3320445.2269487 -202417.770229605,3320709.82534116 -202417.770229605,3320709.82534116 -201888.573444691))","905","1"
"POLYGON ((3343465.28709246 -202682.368622062,3343465.28709246 -202946.967014519,3343729.88548492 -202946.967014519,3343729.88548492 -202682.368622062,3343465.28709246 -202682.368622062))","906","1"
"POLYGON ((3343994.48387738 -202682.368622062,3343994.48387738 -202946.967014519,3344259.08226983 -202946.967014519,3344259.08226983 -202682.368622062,3343994.48387738 -202682.368622062))","907","1"
"POLYGON ((3360928.78099462 -202682.368622062,3360928.78099462 -202946.967014519,3361193.37938708 -202946.967014519,3361193.37938708 -202682.368622062,3360928.78099462 -202682.368622062))","908","1"
"POLYGON ((3369925.12633816 -202682.368622062,3369925.12633816 -202946.967014519,3370189.72473062 -202946.967014519,3370189.72473062 -202682.368622062,3369925.12633816 -202682.368622062))","909","1"
"POLYGON ((3408027.29485197 -202682.368622062,3408027.29485197 -204005.360584347,3408291.89324443 -204005.360584347,3408291.89324443 -203211.565406976,3408556.49163688 -203211.565406976,3408556.49163688 -202946.967014519,3408291.89324443 -202946.967014519,3408291.89324443 -202682.368622062,3408027.29485197 -202682.368622062))","910","1"
"POLYGON ((3257206.21115148 -202946.967014519,3257206.21115148 -203211.565406976,3257470.80954394 -203211.565406976,3257470.80954394 -202946.967014519,3257206.21115148 -202946.967014519))","911","1"
"POLYGON ((3260645.99025342 -202946.967014519,3260645.99025342 -203211.565406976,3260910.58864588 -203211.565406976,3260910.58864588 -202946.967014519,3260645.99025342 -202946.967014519))","912","1"
"POLYGON ((3274669.70505364 -202946.967014519,3274669.70505364 -203211.565406976,3274934.3034461 -203211.565406976,3274934.3034461 -202946.967014519,3274669.70505364 -202946.967014519))","913","1"
"POLYGON ((3343729.88548492 -202946.967014519,3343729.88548492 -203211.565406976,3343994.48387738 -203211.565406976,3343994.48387738 -202946.967014519,3343729.88548492 -202946.967014519))","914","1"
"POLYGON ((3257470.80954394 -203211.565406976,3257470.80954394 -203476.163799433,3257735.40793639 -203476.163799433,3257735.40793639 -203211.565406976,3257470.80954394 -203211.565406976))","915","1"
"POLYGON ((3260910.58864588 -203211.565406976,3260910.58864588 -203740.76219189,3261175.18703834 -203740.76219189,3261175.18703834 -203211.565406976,3260910.58864588 -203211.565406976))","916","1"
"POLYGON ((3344259.08226983 -202946.967014519,3344788.27905475 -202946.967014519,3344788.27905475 -203211.565406976,3344523.68066229 -203211.565406976,3344523.68066229 -203476.163799433,3343994.48387738 -203476.163799433,3343994.48387738 -203211.565406976,3344259.08226983 -203211.565406976,3344259.08226983 -202946.967014519))","917","1"
"POLYGON ((3361193.37938708 -202946.967014519,3361457.97777954 -202946.967014519,3361457.97777954 -203476.163799433,3360928.78099462 -203476.163799433,3360928.78099462 -203211.565406976,3361193.37938708 -203211.565406976,3361193.37938708 -202946.967014519))","918","1"
"POLYGON ((3256147.81758165 -203476.163799433,3256147.81758165 -203740.76219189,3256412.41597411 -203740.76219189,3256412.41597411 -203476.163799433,3256147.81758165 -203476.163799433))","919","1"
"POLYGON ((3257735.40793639 -203476.163799433,3257735.40793639 -203740.76219189,3258000.00632885 -203740.76219189,3258000.00632885 -203476.163799433,3257735.40793639 -203476.163799433))","920","1"
"POLYGON ((3344523.68066229 -203476.163799433,3344523.68066229 -204005.360584347,3345052.8774472 -204005.360584347,3345052.8774472 -203740.76219189,3344788.27905475 -203740.76219189,3344788.27905475 -203476.163799433,3344523.68066229 -203476.163799433))","921","1"
"POLYGON ((3360664.18260217 -203476.163799433,3360664.18260217 -203740.76219189,3360928.78099462 -203740.76219189,3360928.78099462 -203476.163799433,3360664.18260217 -203476.163799433))","922","1"
"POLYGON ((3402999.92539529 -203476.163799433,3402999.92539529 -203740.76219189,3403264.52378774 -203740.76219189,3403264.52378774 -203476.163799433,3402999.92539529 -203476.163799433))","923","1"
"POLYGON ((3257206.21115148 -203740.76219189,3257206.21115148 -204005.360584347,3257470.80954394 -204005.360584347,3257470.80954394 -203740.76219189,3257206.21115148 -203740.76219189))","924","1"
"POLYGON ((3258000.00632885 -203740.76219189,3258000.00632885 -204005.360584347,3258264.60472131 -204005.360584347,3258264.60472131 -203740.76219189,3258000.00632885 -203740.76219189))","925","1"
"POLYGON ((3343729.88548492 -203740.76219189,3343729.88548492 -204269.958976804,3344259.08226983 -204269.958976804,3344259.08226983 -204005.360584347,3343994.48387738 -204005.360584347,3343994.48387738 -203740.76219189,3343729.88548492 -203740.76219189))","926","1"
"POLYGON ((3258264.60472131 -204005.360584347,3258264.60472131 -204269.958976804,3258529.20311376 -204269.958976804,3258529.20311376 -204005.360584347,3258264.60472131 -204005.360584347))","927","1"
"POLYGON ((3403264.52378774 -204005.360584347,3403264.52378774 -204269.958976804,3403529.1221802 -204269.958976804,3403529.1221802 -204005.360584347,3403264.52378774 -204005.360584347))","928","1"
"POLYGON ((3258529.20311376 -204269.958976804,3258529.20311376 -204534.557369261,3258793.80150622 -204534.557369261,3258793.80150622 -204269.958976804,3258529.20311376 -204269.958976804))","929","1"
"POLYGON ((3290281.0102086 -204269.958976804,3290281.0102086 -204534.557369261,3290545.60860106 -204534.557369261,3290545.60860106 -204269.958976804,3290281.0102086 -204269.958976804))","930","1"
"POLYGON ((3324678.80122801 -201359.376659777,3324943.39962047 -201359.376659777,3324943.39962047 -201623.975052234,3325472.59640539 -201623.975052234,3325472.59640539 -201888.573444691,3324943.39962047 -201888.573444691,3324943.39962047 -202153.171837148,3324678.80122801 -202153.171837148,3324678.80122801 -202417.770229605,3325472.59640539 -202417.770229605,3325472.59640539 -202682.368622062,3325207.99801293 -202682.368622062,3325207.99801293 -202946.967014519,3326001.7931903 -202946.967014519,3326001.7931903 -203476.163799433,3326266.39158276 -203476.163799433,3326266.39158276 -204534.557369261,3326530.98997521 -204534.557369261,3326530.98997521 -205063.754154175,3326795.58836767 -205063.754154175,3326795.58836767 -205592.950939089,3327060.18676013 -205592.950939089,3327060.18676013 -206651.344508917,3326795.58836767 -206651.344508917,3326795.58836767 -206122.147724003,3326266.39158276 -206122.147724003,3326266.39158276 -206386.74611646,3326001.7931903 -206386.74611646,3326001.7931903 -205592.950939089,3325737.19479784 -205592.950939089,3325737.19479784 -204799.155761718,3325472.59640539 -204799.155761718,3325472.59640539 -203740.76219189,3324943.39962047 -203740.76219189,3324943.39962047 -202946.967014519,3324678.80122801 -202946.967014519,3324678.80122801 -202682.368622062,3324414.20283556 -202682.368622062,3324414.20283556 -201623.975052234,3324678.80122801 -201623.975052234,3324678.80122801 -201359.376659777))","931","1"
"POLYGON ((3258793.80150622 -204534.557369261,3258793.80150622 -204799.155761718,3259058.39989868 -204799.155761718,3259058.39989868 -204534.557369261,3258793.80150622 -204534.557369261))","932","1"
"POLYGON ((3356959.80510777 -204534.557369261,3356959.80510777 -205063.754154175,3357224.40350023 -205063.754154175,3357224.40350023 -205328.352546632,3357489.00189268 -205328.352546632,3357489.00189268 -205592.950939089,3357753.60028514 -205592.950939089,3357753.60028514 -205063.754154175,3357489.00189268 -205063.754154175,3357489.00189268 -204799.155761718,3357224.40350023 -204799.155761718,3357224.40350023 -204534.557369261,3356959.80510777 -204534.557369261))","933","1"
"POLYGON ((3357753.60028514 -204534.557369261,3357753.60028514 -204799.155761718,3358018.1986776 -204799.155761718,3358018.1986776 -204534.557369261,3357753.60028514 -204534.557369261))","934","1"
"POLYGON ((3408291.89324443 -204534.557369261,3408291.89324443 -205063.754154175,3408556.49163688 -205063.754154175,3408556.49163688 -204534.557369261,3408291.89324443 -204534.557369261))","935","1"
"POLYGON ((3259058.39989868 -204799.155761718,3259058.39989868 -205063.754154175,3259322.99829114 -205063.754154175,3259322.99829114 -204799.155761718,3259058.39989868 -204799.155761718))","936","1"
"POLYGON ((3415700.64823322 -204799.155761718,3415700.64823322 -205063.754154175,3415965.24662568 -205063.754154175,3415965.24662568 -204799.155761718,3415700.64823322 -204799.155761718))","937","1"
"POLYGON ((3259322.99829114 -205063.754154175,3259322.99829114 -205328.352546632,3259587.59668359 -205328.352546632,3259587.59668359 -205592.950939089,3259852.19507605 -205592.950939089,3259852.19507605 -205857.549331546,3260116.79346851 -205857.549331546,3260116.79346851 -205328.352546632,3259852.19507605 -205328.352546632,3259852.19507605 -205063.754154175,3259322.99829114 -205063.754154175))","938","1"
"POLYGON ((3277580.28737067 -205063.754154175,3277580.28737067 -205857.549331546,3277844.88576313 -205857.549331546,3277844.88576313 -205063.754154175,3277580.28737067 -205063.754154175))","939","1"
"POLYGON ((3414642.25466339 -205063.754154175,3414642.25466339 -205328.352546632,3414906.85305585 -205328.352546632,3414906.85305585 -205063.754154175,3414642.25466339 -205063.754154175))","940","1"
"POLYGON ((3408291.89324443 -205328.352546632,3408291.89324443 -206386.74611646,3408556.49163688 -206386.74611646,3408556.49163688 -205328.352546632,3408291.89324443 -205328.352546632))","941","1"
"POLYGON ((3261439.78543079 -205592.950939089,3261439.78543079 -205857.549331546,3261704.38382325 -205857.549331546,3261704.38382325 -205592.950939089,3261439.78543079 -205592.950939089))","942","1"
"POLYGON ((3260116.79346851 -205857.549331546,3260116.79346851 -206122.147724003,3260381.39186096 -206122.147724003,3260381.39186096 -205857.549331546,3260116.79346851 -205857.549331546))","943","1"
"POLYGON ((3261704.38382325 -205857.549331546,3261704.38382325 -206122.147724003,3261968.98221571 -206122.147724003,3261968.98221571 -205857.549331546,3261704.38382325 -205857.549331546))","944","1"
"POLYGON ((3293191.59252563 -205857.549331546,3293191.59252563 -206122.147724003,3293456.19091809 -206122.147724003,3293456.19091809 -205857.549331546,3293191.59252563 -205857.549331546))","945","1"
"POLYGON ((3325472.59640539 -205592.950939089,3325737.19479784 -205592.950939089,3325737.19479784 -206122.147724003,3325207.99801293 -206122.147724003,3325207.99801293 -205857.549331546,3325472.59640539 -205857.549331546,3325472.59640539 -205592.950939089))","946","1"
"POLYGON ((3260645.99025342 -206122.147724003,3260645.99025342 -206386.74611646,3260910.58864588 -206386.74611646,3260910.58864588 -206122.147724003,3260645.99025342 -206122.147724003))","947","1"
"POLYGON ((3276786.4921933 -206122.147724003,3276786.4921933 -206386.74611646,3278109.48415558 -206386.74611646,3278109.48415558 -206122.147724003,3276786.4921933 -206122.147724003))","948","1"
"POLYGON ((3279167.87772541 -206122.147724003,3279167.87772541 -206386.74611646,3279697.07451032 -206386.74611646,3279697.07451032 -206122.147724003,3279167.87772541 -206122.147724003))","949","1"
"POLYGON ((3346905.0661944 -206122.147724003,3346905.0661944 -206386.74611646,3347169.66458686 -206386.74611646,3347169.66458686 -206122.147724003,3346905.0661944 -206122.147724003))","950","1"
"POLYGON ((3385536.43149312 -206122.147724003,3385536.43149312 -206386.74611646,3385801.02988558 -206386.74611646,3385801.02988558 -206122.147724003,3385536.43149312 -206122.147724003))","951","1"
"POLYGON ((3404587.51575003 -206122.147724003,3404587.51575003 -206386.74611646,3404852.11414249 -206386.74611646,3404852.11414249 -206122.147724003,3404587.51575003 -206122.147724003))","952","1"
"POLYGON ((3260910.58864588 -206386.74611646,3260910.58864588 -206651.344508917,3261175.18703834 -206651.344508917,3261175.18703834 -206386.74611646,3260910.58864588 -206386.74611646))","953","1"
"POLYGON ((3410144.08199163 -204799.155761718,3410408.68038408 -204799.155761718,3410408.68038408 -206386.74611646,3410144.08199163 -206386.74611646,3410144.08199163 -205592.950939089,3409879.48359917 -205592.950939089,3409879.48359917 -206386.74611646,3409614.88520671 -206386.74611646,3409614.88520671 -206122.147724003,3409350.28681425 -206122.147724003,3409350.28681425 -206915.942901374,3409085.6884218 -206915.942901374,3409085.6884218 -205328.352546632,3409879.48359917 -205328.352546632,3409879.48359917 -205063.754154175,3410144.08199163 -205063.754154175,3410144.08199163 -204799.155761718))","954","1"
