fid,radio_type,lon,lat
478,UMTS,30.081161,-1.971817
479,GSM,30.077648,-1.953793
480,UMTS,30.08537292,-1.95350647
481,UMTS,30.109062,-1.93737
482,GSM,30.10643,-1.937485
483,UMTS,30.11637,-1.958607
484,UMTS,29.4165802,-2.051010132
485,UMTS,30.079605,-1.971703
486,UMTS,30.077408,-1.969986
487,UMTS,30.098043,-1.964449
488,UMTS,30.081253,-1.97525
489,UMTS,28.879623,-2.502823
490,UMTS,30.091362,-1.952116
491,UMTS,30.06065369,-1.942520142
492,LTE,30.07164001,-1.985092163
493,LTE,30.070953,-1.94252
494,LTE,29.59510803,-1.431655884
495,LTE,30.068893,-1.95179
496,LTE,30.046463,-1.940231
497,LTE,28.90159607,-2.49458313
498,LTE,29.6308136,-1.498947144
499,LTE,30.049667,-1.941834
500,LTE,30.053101,-1.939774
501,LTE,29.63218689,-1.500320435
502,LTE,30.06752014,-1.93977356
503,UMTS,30.13618469,-1.954879761
504,UMTS,30.07301331,-1.952133179
505,UMTS,30.088291,-1.951077
506,UMTS,30.069468,-1.927905
507,UMTS,30.076584,-1.945816
508,UMTS,30.07713318,-1.912307739
509,UMTS,30.075073,-1.980972
510,UMTS,30.09361267,-1.96723938
511,UMTS,30.077254,-1.951317
512,UMTS,30.047836,-1.937027
513,UMTS,30.056019,-1.935997
514,UMTS,30.05868,-1.944939
515,UMTS,30.0579071,-1.946640015
516,UMTS,30.06340027,-1.935653687
517,UMTS,30.05962,-1.963374
518,UMTS,30.08811951,-1.978225708
519,UMTS,29.52095032,-1.590957642
520,UMTS,30.063086,-1.934294
521,UMTS,29.76264954,-1.608810425
522,UMTS,30.059424,-1.944791
523,UMTS,30.047836,-1.94252
524,UMTS,30.0592804,-1.946640015
525,UMTS,29.99336243,-1.677474976
526,UMTS,30.064774,-1.942932
527,UMTS,30.070932,-1.94897
528,UMTS,30.06477356,-1.968612671
529,UMTS,30.089767,-1.969162
530,UMTS,30.059359,-1.964195
531,UMTS,30.077133,-1.957901
532,UMTS,30.055962,-1.952248
533,UMTS,29.74067688,-2.618179321
534,UMTS,30.098419,-1.910934
535,UMTS,30.06477356,-1.96723938
